Model,MDO3104
Firmware Version,1.30

Waveform Type,RF_FD
Point Format,Y
Horizontal Units,Hz
Horizontal Scale,2e+07
,
Sample Interval,266667
Record Length,751
Gating,0.133155792277% to 100.0%
Probe Attenuation,1
Vertical Units,dBm
Vertical Offset,0
Vertical Scale,10
Vertical Position,0
Center Frequency,1.1e+08
Span,2e+08
Reference Level,0
Label,
FREQUENCY,FD NORM
1.502666667e+08,-77.1886
1.505333333e+08,-79.5961
1.508000000e+08,-76.9491
1.510666667e+08,-77.7458
1.513333333e+08,-79.6451
1.516000000e+08,-77.789
1.518666667e+08,-82.3696
1.521333333e+08,-78.9895
1.524000000e+08,-73.454
1.526666667e+08,-77.7792
1.529333333e+08,-79.413
1.532000000e+08,-76.2134
1.534666667e+08,-77.3171
1.537333333e+08,-78.5764
1.540000000e+08,-82.6246
1.542666667e+08,-78.7095
1.545333333e+08,-78.128
1.548000000e+08,-74.6901
1.550666667e+08,-74.3743
1.553333333e+08,-77.3479
1.556000000e+08,-75.7159
1.558666667e+08,-47.049
1.561333333e+08,-46.9172
1.564000000e+08,-78.9871
1.566666667e+08,-78.682
1.569333333e+08,-77.1338
1.572000000e+08,-76.3997
1.574666667e+08,-75.7282
1.577333333e+08,-77.0696
1.580000000e+08,-77.4583
1.582666667e+08,-79.5776
1.585333333e+08,-77.3185
1.588000000e+08,-78.7039
1.590666667e+08,-80.3485
1.593333333e+08,-78.9726
1.596000000e+08,-78.5189
1.598666667e+08,-77.5668
1.601333333e+08,-80.7225
1.604000000e+08,-77.1318
1.606666667e+08,-76.7243
1.609333333e+08,-76.6928
1.612000000e+08,-78.3287
1.614666667e+08,-76.1109
1.617333333e+08,-74.7691
1.620000000e+08,-74.3464
1.622666667e+08,-79.3436
1.625333333e+08,-80.9717
1.628000000e+08,-79.4739
1.630666667e+08,-81.056
1.633333333e+08,-75.976
1.636000000e+08,-79.4526
1.638666667e+08,-79.5749
1.641333333e+08,-77.7807
1.644000000e+08,-76.1323
1.646666667e+08,-78.4573
1.649333333e+08,-76.3192
1.652000000e+08,-76.3
1.654666667e+08,-75.0379
1.657333333e+08,-79.0734
1.660000000e+08,-74.9308
1.662666667e+08,-77.2725
1.665333333e+08,-75.8784
1.668000000e+08,-76.8671
1.670666667e+08,-76.4121
1.673333333e+08,-80.1632
1.676000000e+08,-77.9548
1.678666667e+08,-62.9998
1.681333333e+08,-63.001
1.684000000e+08,-75.5805
1.686666667e+08,-80.5309
1.689333333e+08,-72.5298
1.692000000e+08,-78.9809
1.694666667e+08,-78.2284
1.697333333e+08,-79.4348
1.700000000e+08,-78.7381
1.702666667e+08,-79.0149
1.705333333e+08,-77.5604
1.708000000e+08,-77.7424
1.710666667e+08,-78.205
1.713333333e+08,-78.723
1.716000000e+08,-78.0046
1.718666667e+08,-77.2909
1.721333333e+08,-77.6704
1.724000000e+08,-78.8371
1.726666667e+08,-78.3228
1.729333333e+08,-79.917
1.732000000e+08,-80.584
1.734666667e+08,-78.9821
1.737333333e+08,-81.657
1.740000000e+08,-75.2709
1.742666667e+08,-80.9413
1.745333333e+08,-76.4466
1.748000000e+08,-78.0589
1.750666667e+08,-78.5128
1.753333333e+08,-76.8313
1.756000000e+08,-80.4566
1.758666667e+08,-77.0966
1.761333333e+08,-75.7602
1.764000000e+08,-80.0664
1.766666667e+08,-78.0206
1.769333333e+08,-77.9816
1.772000000e+08,-76.4622
1.774666667e+08,-75.1341
1.777333333e+08,-80.1173
1.780000000e+08,-76.8398
1.782666667e+08,-77.5476
1.785333333e+08,-80.1214
1.788000000e+08,-73.6212
1.790666667e+08,-78.3078
1.793333333e+08,-77.8644
1.796000000e+08,-80.0461
1.798666667e+08,-36.0678
1.801333333e+08,-35.9585
1.804000000e+08,-75.8724
1.806666667e+08,-79.966
1.809333333e+08,-76.7106
1.812000000e+08,-78.3589
1.814666667e+08,-78.0231
1.817333333e+08,-78.9129
1.820000000e+08,-78.5067
1.822666667e+08,-76.3023
1.825333333e+08,-75.1645
1.828000000e+08,-76.08
1.830666667e+08,-75.6324
1.833333333e+08,-78.816
1.836000000e+08,-77.2754
1.838666667e+08,-74.0705
1.841333333e+08,-80.154
1.844000000e+08,-75.0443
1.846666667e+08,-78.7161
1.849333333e+08,-75.7023
1.852000000e+08,-77.2409
1.854666667e+08,-77.9489
1.857333333e+08,-77.382
1.860000000e+08,-78.8587
1.862666667e+08,-78.1334
1.865333333e+08,-78.1052
1.868000000e+08,-80.5096
1.870666667e+08,-75.0739
1.873333333e+08,-77.3367
1.876000000e+08,-77.7638
1.878666667e+08,-76.1978
1.881333333e+08,-78.6909
1.884000000e+08,-76.5821
1.886666667e+08,-75.1405
1.889333333e+08,-74.8847
1.892000000e+08,-77.4524
1.894666667e+08,-80.5171
1.897333333e+08,-82.9163
1.900000000e+08,-80.2145
1.902666667e+08,-78.4619
1.905333333e+08,-78.3614
1.908000000e+08,-77.9329
1.910666667e+08,-76.9102
1.913333333e+08,-77.9938
1.916000000e+08,-79.6485
1.918666667e+08,-64.7517
1.921333333e+08,-55.4253
1.924000000e+08,-80.3501
1.926666667e+08,-75.276
1.929333333e+08,-78.6855
1.932000000e+08,-74.9249
1.934666667e+08,-78.9268
1.937333333e+08,-78.1868
1.940000000e+08,-73.3698
1.942666667e+08,-75.4101
1.945333333e+08,-76.9463
1.948000000e+08,-76.0344
1.950666667e+08,-72.4953
1.953333333e+08,-77.6554
1.956000000e+08,-73.5028
1.958666667e+08,-75.5614
1.961333333e+08,-77.3064
1.964000000e+08,-75.6145
1.966666667e+08,-76.9063
1.969333333e+08,-76.3201
1.972000000e+08,-78.5565
1.974666667e+08,-80.1025
1.977333333e+08,-78.0406
1.980000000e+08,-79.1283
1.982666667e+08,-75.6529
1.985333333e+08,-77.5302
1.988000000e+08,-77.3059
1.990666667e+08,-78.6295
1.993333333e+08,-76.6081
1.996000000e+08,-76.8909
1.998666667e+08,-73.8182
2.001333333e+08,-72.6875
2.004000000e+08,-75.5969
2.006666667e+08,-78.309
2.009333333e+08,-78.5334
2.012000000e+08,-78.4394
2.014666667e+08,-75.4415
2.017333333e+08,-74.9249
2.020000000e+08,-79.8936
2.022666667e+08,-80.2419
2.025333333e+08,-73.5543
2.028000000e+08,-76.646
2.030666667e+08,-78.9125
2.033333333e+08,-77.8822
2.036000000e+08,-77.6429
2.038666667e+08,-46.2528
2.041333333e+08,-46.1453
2.044000000e+08,-75.2418
2.046666667e+08,-78.2776
2.049333333e+08,-74.6385
2.052000000e+08,-76.0312
2.054666667e+08,-76.4406
2.057333333e+08,-77.6828
2.060000000e+08,-75.836
2.062666667e+08,-73.8336
2.065333333e+08,-72.7442
2.068000000e+08,-76.3177
2.070666667e+08,-76.5827
2.073333333e+08,-76.5968
2.076000000e+08,-72.9442
2.078666667e+08,-77.2325
2.081333333e+08,-75.537
2.084000000e+08,-78.593
2.086666667e+08,-77.8392
2.089333333e+08,-74.1754
2.092000000e+08,-78.0486
2.094666667e+08,-77.8417
2.097333333e+08,-78.9985
2.100000000e+08,-78.575

